gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,curcdq,datacqtr,datafqtr,epsfxq,ltq,niq,revtq,capxy,costat
004503,2010-03-31,2010,1,INDL,C,D,STD,XOM,USD,2010Q1,2010Q1,1.3300,125082.0000,6300.0000,80222.0000,5756.0000,A
004503,2010-06-30,2010,2,INDL,C,D,STD,XOM,USD,2010Q2,2010Q2,1.6000,145701.0000,7560.0000,82747.0000,11400.0000,A
004503,2010-09-30,2010,3,INDL,C,D,STD,XOM,USD,2010Q3,2010Q3,1.4400,149394.0000,7350.0000,85181.0000,19201.0000,A
004503,2010-12-31,2010,4,INDL,C,D,STD,XOM,USD,2010Q4,2010Q4,1.8500,149831.0000,9250.0000,93428.0000,26871.0000,A
004503,2011-03-31,2011,1,INDL,C,D,STD,XOM,USD,2011Q1,2011Q1,2.1400,162002.0000,10650.0000,101335.0000,7051.0000,A
004503,2011-06-30,2011,2,INDL,C,D,STD,XOM,USD,2011Q2,2011Q2,2.1800,164369.0000,10680.0000,112781.0000,14863.0000,A
004503,2011-09-30,2011,3,INDL,C,D,STD,XOM,USD,2011Q3,2011Q3,2.1300,161015.0000,10330.0000,111991.0000,22341.0000,A
004503,2011-12-31,2011,4,INDL,C,D,STD,XOM,USD,2011Q4,2011Q4,1.9700,170308.0000,9400.0000,107419.0000,30975.0000,A
004503,2012-03-31,2012,1,INDL,C,D,STD,XOM,USD,2012Q1,2012Q1,2.0000,181035.0000,9450.0000,110696.0000,7843.0000,A
004503,2012-06-30,2012,2,INDL,C,D,STD,XOM,USD,2012Q2,2012Q2,3.4100,161660.0000,15910.0000,104143.0000,16188.0000,A
004503,2012-09-30,2012,3,INDL,C,D,STD,XOM,USD,2012Q3,2012Q3,2.0900,162836.0000,9570.0000,102852.0000,24214.0000,A
004503,2012-12-31,2012,4,INDL,C,D,STD,XOM,USD,2012Q4,2012Q4,2.2000,162135.0000,9950.0000,101409.0000,34271.0000,A
004503,2013-03-31,2013,1,INDL,C,D,STD,XOM,USD,2013Q1,2013Q1,2.1200,166562.0000,9500.0000,95886.0000,7494.0000,A
004503,2013-06-30,2013,2,INDL,C,D,STD,XOM,USD,2013Q2,2013Q2,1.5500,170027.0000,6860.0000,95498.0000,16145.0000,A
004503,2013-09-30,2013,3,INDL,C,D,STD,XOM,USD,2013Q3,2013Q3,1.7900,172086.0000,7870.0000,100508.0000,25243.0000,A
004503,2013-12-31,2013,4,INDL,C,D,STD,XOM,USD,2013Q4,2013Q4,1.9100,166313.0000,8350.0000,98355.0000,33669.0000,A
004503,2014-03-31,2014,1,INDL,C,D,STD,XOM,USD,2014Q1,2014Q1,2.1000,170142.0000,9100.0000,93896.0000,7328.0000,A
004503,2014-06-30,2014,2,INDL,C,D,STD,XOM,USD,2014Q2,2014Q2,2.0500,170455.0000,8780.0000,97848.0000,15870.0000,A
004503,2014-09-30,2014,3,INDL,C,D,STD,XOM,USD,2014Q3,2014Q3,1.8900,165269.0000,8070.0000,95687.0000,24068.0000,A
004503,2014-12-31,2014,4,INDL,C,D,STD,XOM,USD,2014Q4,2014Q4,1.5600,168429.0000,6570.0000,77332.0000,32952.0000,A
004503,2015-03-31,2015,1,INDL,C,D,STD,XOM,USD,2015Q1,2015Q1,1.1700,165515.0000,4940.0000,59228.0000,6844.0000,A
004503,2015-06-30,2015,2,INDL,C,D,STD,XOM,USD,2015Q2,2015Q2,1.0000,169262.0000,4190.0000,65395.0000,13953.0000,A
004503,2015-09-30,2015,3,INDL,C,D,STD,XOM,USD,2015Q3,2015Q3,1.0100,163823.0000,4240.0000,59866.0000,20354.0000,A
004503,2015-12-31,2015,4,INDL,C,D,STD,XOM,USD,2015Q4,2015Q4,0.6700,159948.0000,2780.0000,52321.0000,26490.0000,A
004503,2016-03-31,2016,1,INDL,C,D,STD,XOM,USD,2016Q1,2016Q1,0.4300,164291.0000,1810.0000,42290.0000,4601.0000,A
004503,2016-06-30,2016,2,INDL,C,D,STD,XOM,USD,2016Q2,2016Q2,0.4100,165598.0000,1700.0000,50925.0000,8872.0000,A
004503,2016-09-30,2016,3,INDL,C,D,STD,XOM,USD,2016Q3,2016Q3,0.6300,162376.0000,2650.0000,51330.0000,12276.0000,A
004503,2016-12-31,2016,4,INDL,C,D,STD,XOM,USD,2016Q4,2016Q4,0.4100,156484.0000,1680.0000,52973.0000,16163.0000,A
004503,2017-03-31,2017,1,INDL,C,D,STD,XOM,USD,2017Q1,2017Q1,0.9500,160438.0000,4010.0000,56474.0000,2890.0000,A
004503,2017-06-30,2017,2,INDL,C,D,STD,XOM,USD,2017Q2,2017Q2,0.7800,157174.0000,3350.0000,56026.0000,5988.0000,A
004503,2017-09-30,2017,3,INDL,C,D,STD,XOM,USD,2017Q3,2017Q3,0.9300,160229.0000,3970.0000,59350.0000,10901.0000,A
004503,2017-12-31,2017,4,INDL,C,D,STD,XOM,USD,2017Q4,2017Q4,1.9700,154191.0000,8380.0000,65312.0000,15402.0000,A
004503,2018-03-31,2018,1,INDL,C,D,STD,XOM,USD,2018Q1,2018Q1,1.0900,153915.0000,4650.0000,65436.0000,3349.0000,A
004503,2018-06-30,2018,2,INDL,C,D,STD,XOM,USD,2018Q2,2018Q2,0.9200,155257.0000,3950.0000,71456.0000,8276.0000,A
004503,2018-09-30,2018,3,INDL,C,D,STD,XOM,USD,2018Q3,2018Q3,1.4600,157797.0000,6240.0000,74187.0000,13480.0000,A
004503,2018-12-31,2018,4,INDL,C,D,STD,XOM,USD,2018Q4,2018Q4,1.4100,147668.0000,6000.0000,68253.0000,19574.0000,A
004503,2019-03-31,2019,1,INDL,C,D,STD,XOM,USD,2019Q1,2019Q1,0.5500,158168.0000,2350.0000,61646.0000,5199.0000,A
004503,2019-06-30,2019,2,INDL,C,D,STD,XOM,USD,2019Q2,2019Q2,0.7300,162264.0000,3130.0000,67491.0000,11372.0000,A
004503,2019-09-30,2019,3,INDL,C,D,STD,XOM,USD,2019Q3,2019Q3,0.7500,162252.0000,3170.0000,63422.0000,17657.0000,A
004503,2019-12-31,2019,4,INDL,C,D,STD,XOM,USD,2019Q4,2019Q4,1.3300,163659.0000,5690.0000,63024.0000,24361.0000,A
