gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,curcdq,datacqtr,datafqtr,epsfxq,ltq,niq,revtq,capxy,costat
004503,1962-03-31,1962,1,INDL,C,D,STD,XOM,USD,1962Q1,1962Q1,,,231.0000,2580.0000,,A
004503,1962-06-30,1962,2,INDL,C,D,STD,XOM,USD,1962Q2,1962Q2,,,194.0000,2578.0000,,A
004503,1962-09-30,1962,3,INDL,C,D,STD,XOM,USD,1962Q3,1962Q3,,,216.0000,2703.0000,,A
004503,1962-12-31,1962,4,INDL,C,D,STD,XOM,USD,1962Q4,1962Q4,,,200.0000,2715.0000,,A
004503,1963-03-31,1963,1,INDL,C,D,STD,XOM,USD,1963Q1,1963Q1,,,259.0000,2746.0000,,A
004503,1963-06-30,1963,2,INDL,C,D,STD,XOM,USD,1963Q2,1963Q2,,,254.0000,2802.0000,,A
004503,1963-09-30,1963,3,INDL,C,D,STD,XOM,USD,1963Q3,1963Q3,,,260.0000,2993.0000,,A
004503,1963-12-31,1963,4,INDL,C,D,STD,XOM,USD,1963Q4,1963Q4,,,246.0000,2850.0000,,A
004503,1964-03-31,1964,1,INDL,C,D,STD,XOM,USD,1964Q1,1964Q1,,,281.0000,2904.0000,,A
004503,1964-06-30,1964,2,INDL,C,D,STD,XOM,USD,1964Q2,1964Q2,,,256.0000,2856.0000,,A
004503,1964-09-30,1964,3,INDL,C,D,STD,XOM,USD,1964Q3,1964Q3,,,262.0000,3116.0000,,A
004503,1964-12-31,1964,4,INDL,C,D,STD,XOM,USD,1964Q4,1964Q4,,,252.0000,3139.0000,,A
004503,1965-03-31,1965,1,INDL,C,D,STD,XOM,USD,1965Q1,1965Q1,,,263.0000,3044.0000,,A
004503,1965-06-30,1965,2,INDL,C,D,STD,XOM,USD,1965Q2,1965Q2,,,242.0000,3090.0000,,A
004503,1965-09-30,1965,3,INDL,C,D,STD,XOM,USD,1965Q3,1965Q3,,,264.0000,3237.0000,,A
004503,1965-12-31,1965,4,INDL,C,D,STD,XOM,USD,1965Q4,1965Q4,,,252.3610,3373.0000,,A
004503,1966-03-31,1966,1,INDL,C,D,STD,XOM,USD,1966Q1,1966Q1,,,294.0000,3317.0000,,A
004503,1966-06-30,1966,2,INDL,C,D,STD,XOM,USD,1966Q2,1966Q2,,,267.0000,3347.0000,,A
004503,1966-09-30,1966,3,INDL,C,D,STD,XOM,USD,1966Q3,1966Q3,,,272.0000,3384.0000,,A
004503,1966-12-31,1966,4,INDL,C,D,STD,XOM,USD,1966Q4,1966Q4,,,257.9440,3533.6000,,A
004503,1967-03-31,1967,1,INDL,C,D,STD,XOM,USD,1967Q1,1967Q1,1.3200,,284.0000,3514.0000,,A
004503,1967-06-30,1967,2,INDL,C,D,STD,XOM,USD,1967Q2,1967Q2,1.2100,,260.0000,3656.0000,,A
004503,1967-09-30,1967,3,INDL,C,D,STD,XOM,USD,1967Q3,1967Q3,1.4100,,304.0000,3493.0000,,A
004503,1967-12-31,1967,4,INDL,C,D,STD,XOM,USD,1967Q4,1967Q4,,,347.0280,3746.4000,,A
004503,1968-03-31,1968,1,INDL,C,D,STD,XOM,USD,1968Q1,1968Q1,1.4900,,320.0000,3863.0000,,A
004503,1968-06-30,1968,2,INDL,C,D,STD,XOM,USD,1968Q2,1968Q2,1.4000,,301.0000,3744.0000,,A
004503,1968-09-30,1968,3,INDL,C,D,STD,XOM,USD,1968Q3,1968Q3,1.4700,,316.0000,4009.0000,,A
004503,1968-12-31,1968,4,INDL,C,D,STD,XOM,USD,1968Q4,1968Q4,1.5700,,339.6810,3857.9000,,A
004503,1969-03-31,1969,1,INDL,C,D,STD,XOM,USD,1969Q1,1969Q1,1.5100,,325.0000,4043.0000,,A
004503,1969-06-30,1969,2,INDL,C,D,STD,XOM,USD,1969Q2,1969Q2,1.4000,,301.0000,4051.0000,,A
004503,1969-09-30,1969,3,INDL,C,D,STD,XOM,USD,1969Q3,1969Q3,1.3800,,296.0000,4099.0000,,A
004503,1969-12-31,1969,4,INDL,C,D,STD,XOM,USD,1969Q4,1969Q4,1.4900,,125.6000,4240.0980,,A
004503,1970-03-31,1970,1,INDL,C,D,STD,XOM,USD,1970Q1,1970Q1,1.4700,,319.0000,4393.0000,,A
004503,1970-06-30,1970,2,INDL,C,D,STD,XOM,USD,1970Q2,1970Q2,1.1700,,262.0000,4344.0000,,A
004503,1970-09-30,1970,3,INDL,C,D,STD,XOM,USD,1970Q3,1970Q3,1.4000,,313.0000,4545.0000,,A
004503,1970-12-31,1970,4,INDL,C,D,STD,XOM,USD,1970Q4,1970Q4,1.8700,,415.5000,4861.2970,,A
004503,1971-03-31,1971,1,INDL,C,D,STD,XOM,USD,1971Q1,1971Q1,1.6700,,374.0000,4689.0000,,A
004503,1971-06-30,1971,2,INDL,C,D,STD,XOM,USD,1971Q2,1971Q2,1.5700,,352.0000,4524.0000,,A
004503,1971-09-30,1971,3,INDL,C,D,STD,XOM,USD,1971Q3,1971Q3,1.5900,,357.0000,4516.0000,,A
004503,1971-12-31,1971,4,INDL,C,D,STD,XOM,USD,1971Q4,1971Q4,1.9400,8228.0820,378.5620,4971.6290,,A
004503,1972-03-31,1972,1,INDL,C,D,STD,XOM,USD,1972Q1,1972Q1,1.5800,,355.0000,5030.0000,,A
004503,1972-06-30,1972,2,INDL,C,D,STD,XOM,USD,1972Q2,1972Q2,1.4800,,331.0000,4878.0000,,A
004503,1972-09-30,1972,3,INDL,C,D,STD,XOM,USD,1972Q3,1972Q3,1.5800,,353.0000,4930.0000,,A
004503,1972-12-31,1972,4,INDL,C,D,STD,XOM,USD,1972Q4,1972Q4,2.1900,8752.3820,492.7700,5471.7500,,A
