permno,adate,qdate,public_date,npm,de_ratio,curr_ratio,ptb,TICKER
11850,1968-12-31,1969-09-30,1970-01-31,0.079,0.659,1.609,1.179,J
11850,1969-12-31,1969-12-31,1970-02-28,0.083,0.693,1.487,1.142,J
11850,1969-12-31,1969-12-31,1970-03-31,0.083,0.693,1.487,1.210,J
11850,1969-12-31,1969-12-31,1970-04-30,0.083,0.693,1.487,1.134,J
11850,1969-12-31,1970-03-31,1970-05-31,0.074,0.693,1.487,1.200,J
11850,1969-12-31,1970-03-31,1970-06-30,0.074,0.693,1.487,1.158,J
11850,1969-12-31,1970-03-31,1970-07-31,0.074,0.693,1.487,1.311,J
11850,1969-12-31,1970-06-30,1970-08-31,0.070,0.693,1.487,1.393,J
11850,1969-12-31,1970-06-30,1970-09-30,0.070,0.693,1.487,1.417,J
11850,1969-12-31,1970-06-30,1970-10-31,0.070,0.693,1.487,1.470,J
11850,1969-12-31,1970-09-30,1970-11-30,0.069,0.693,1.487,1.530,J
11850,1969-12-31,1970-09-30,1970-12-31,0.069,0.693,1.487,1.551,J
11850,1969-12-31,1970-09-30,1971-01-31,0.069,0.693,1.487,1.493,J
11850,1970-12-31,1970-12-31,1971-02-28,0.079,0.714,1.540,1.461,J
11850,1970-12-31,1970-12-31,1971-03-31,0.079,0.714,1.540,1.551,J
11850,1970-12-31,1970-12-31,1971-04-30,0.079,0.714,1.540,1.548,J
11850,1970-12-31,1971-03-31,1971-05-31,0.074,0.714,1.540,1.475,J
11850,1970-12-31,1971-03-31,1971-06-30,0.074,0.714,1.540,1.466,J
11850,1970-12-31,1971-03-31,1971-07-31,0.074,0.714,1.540,1.487,J
11850,1970-12-31,1971-06-30,1971-08-31,0.078,0.714,1.540,1.378,J
11850,1970-12-31,1971-06-30,1971-09-30,0.078,0.714,1.540,1.400,J
11850,1970-12-31,1971-06-30,1971-10-31,0.078,0.714,1.540,1.361,J
11850,1970-12-31,1971-09-30,1971-11-30,0.081,0.714,1.540,1.339,J
11850,1970-12-31,1971-09-30,1971-12-31,0.081,0.714,1.540,1.436,J
11850,1970-12-31,1971-09-30,1972-01-31,0.081,0.714,1.540,1.465,J
11850,1971-12-31,1971-12-31,1972-02-29,0.081,0.710,1.568,1.387,J
11850,1971-12-31,1971-12-31,1972-03-31,0.081,0.710,1.568,1.291,J
11850,1971-12-31,1971-12-31,1972-04-30,0.081,0.710,1.568,1.282,J
11850,1971-12-31,1972-03-31,1972-05-31,0.079,0.706,1.568,1.434,J
11850,1971-12-31,1972-03-31,1972-06-30,0.079,0.706,1.568,1.415,J
11850,1971-12-31,1972-03-31,1972-07-31,0.079,0.706,1.568,1.448,J
11850,1971-12-31,1972-06-30,1972-08-31,0.076,0.702,1.568,1.534,J
11850,1971-12-31,1972-06-30,1972-09-30,0.076,0.702,1.568,1.534,J
11850,1971-12-31,1972-06-30,1972-10-31,0.076,0.702,1.568,1.579,J
11850,1971-12-31,1972-09-30,1972-11-30,0.074,0.698,1.568,1.631,J
11850,1971-12-31,1972-09-30,1972-12-31,0.074,0.698,1.568,1.638,J
11850,1971-12-31,1972-09-30,1973-01-31,0.074,0.698,1.568,1.774,J
11850,1972-12-31,1972-12-31,1973-02-28,0.075,0.713,1.508,1.539,XON
11850,1972-12-31,1972-12-31,1973-03-31,0.075,0.713,1.508,1.625,XON
11850,1972-12-31,1972-12-31,1973-04-30,0.075,0.713,1.508,1.658,XON
11850,1972-12-31,1973-03-31,1973-05-31,0.080,0.720,1.508,1.676,XON
11850,1972-12-31,1973-03-31,1973-06-30,0.080,0.720,1.508,1.759,XON
11850,1972-12-31,1973-03-31,1973-07-31,0.080,0.720,1.508,1.710,XON
11850,1972-12-31,1973-06-30,1973-08-31,0.085,0.705,1.508,1.552,XON
11850,1972-12-31,1973-06-30,1973-09-30,0.085,0.705,1.508,1.622,XON
11850,1972-12-31,1973-06-30,1973-10-31,0.085,0.705,1.508,1.650,XON
11850,1972-12-31,1973-09-30,1973-11-30,0.091,0.688,1.508,1.522,XON
11850,1972-12-31,1973-09-30,1973-12-31,0.091,0.688,1.508,1.594,XON
11850,1972-12-31,1973-09-30,1974-01-31,0.091,0.688,1.508,1.465,XON
