public_date,FFI10_desc,NFIRM,indret_ew,indret_vw,CAPEI_Median,bm_Median,evm_Median,pe_op_basic_Median,pe_op_dil_Median,pe_exi_Median,pe_inc_Median,ps_Median,pcf_Median,dpr_Median,ptb_Median,PEG_trailing_Median,divyield_Median,PEG_1yrforward_Median,PEG_ltgforward_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
1970-01-31,DURBL,123,-0.041323,-0.082191,10.767,0.433,9.004,,,13.276,12.772,0.460,7.176,0.000,1.556,0.688,3.59%,,,0.507,0.394,0.131,0.131,0.128,0.244,0.038,0.086,0.106,0.165,0.229,0.076,0.184,0.199,0.143,0.209,0.782,0.218,0.318,0.499,0.350,0.262,0.228,0.144,0.146,0.060,0.328,0.578,0.655,1.101,0.252,0.097,0.068,0.295,1.808,0.788,0.461,0.219,0.382,4.622,7.533,119.977,0.222,2.349,1.152,1.720,3.891,16.612,7.663,3.147,2.376,4.221,0.011,0.000,0.000,0.000
1970-01-31,ENRGY,93,-0.036745,-0.114429,13.423,0.375,10.281,,,14.553,14.748,1.358,7.748,0.000,2.028,0.997,3.24%,,,0.280,0.175,0.108,0.112,0.103,0.334,0.082,0.122,0.226,0.089,0.105,0.115,0.144,0.100,0.108,0.272,0.712,0.282,0.319,0.203,0.454,-0.124,0.654,0.236,0.151,0.179,0.127,0.930,0.387,1.896,0.343,0.069,0.059,0.497,0.719,0.785,0.429,0.264,0.471,3.955,4.538,43.600,0.408,1.728,1.354,0.655,7.360,4.328,6.126,1.172,0.784,5.668,-0.049,0.000,0.000,0.000
1970-01-31,HITEC,183,-0.055283,-0.092388,18.203,0.308,12.316,,,17.942,17.826,0.808,7.916,0.000,2.262,1.242,2.48%,,,0.494,0.391,0.111,0.111,0.104,0.302,0.041,0.087,0.113,0.136,0.183,0.080,0.164,0.168,0.101,0.241,0.762,0.274,0.344,0.477,0.375,0.136,0.135,0.052,0.132,0.066,0.252,0.607,0.615,1.413,0.306,0.084,0.063,0.354,1.719,0.764,0.457,0.250,0.355,4.332,7.045,129.995,0.232,2.682,1.358,1.427,3.135,14.133,5.749,2.293,1.875,3.261,0.033,0.000,0.000,0.000
1970-01-31,HLTH,50,-0.043127,-0.071010,36.589,0.241,13.770,,,28.976,28.976,2.353,18.039,0.000,5.360,2.679,1.83%,,,0.498,0.575,0.144,0.143,0.145,0.456,0.078,0.138,0.163,0.196,0.264,0.152,0.220,0.220,0.143,0.127,0.815,0.167,0.247,0.402,0.350,0.581,0.362,0.176,0.281,0.105,0.245,1.000,0.660,0.765,0.219,0.096,0.066,0.279,1.190,0.544,0.353,0.157,0.285,9.469,15.794,119.513,0.620,2.692,1.651,1.366,2.668,15.322,6.879,1.991,1.666,3.379,0.022,0.000,0.000,0.000
1970-01-31,MANUF,579,-0.034133,-0.073497,11.511,0.514,8.581,,,12.813,12.847,0.530,7.270,0.000,1.393,0.934,3.89%,,,0.495,0.345,0.113,0.113,0.105,0.268,0.045,0.093,0.122,0.134,0.179,0.087,0.163,0.160,0.109,0.243,0.745,0.252,0.317,0.476,0.364,0.157,0.302,0.156,0.132,0.075,0.190,0.762,0.551,1.453,0.315,0.080,0.062,0.385,1.214,0.741,0.434,0.232,0.372,5.130,8.243,105.383,0.281,2.552,1.345,1.385,3.849,12.535,7.059,2.286,1.834,3.886,-0.009,0.000,0.000,0.000
1970-01-31,NODUR,271,-0.026029,-0.043907,13.030,0.491,8.756,,,13.607,13.776,0.458,8.209,0.000,1.539,1.096,3.44%,,,0.500,0.428,0.123,0.124,0.123,0.282,0.037,0.082,0.102,0.150,0.209,0.077,0.169,0.181,0.126,0.240,0.749,0.251,0.349,0.508,0.342,0.105,0.169,0.090,0.134,0.057,0.306,0.656,0.596,1.555,0.307,0.098,0.065,0.350,1.694,0.801,0.451,0.241,0.365,4.421,7.067,121.988,0.238,2.476,1.291,1.698,3.693,14.007,8.090,2.871,2.274,4.300,0.013,0.000,0.000,0.000
1970-01-31,OTHER,292,-0.057151,-0.092563,14.891,0.379,11.774,,,13.267,12.286,1.054,5.657,0.000,1.783,0.629,3.40%,,,0.425,0.176,0.119,0.117,0.082,0.285,0.057,0.105,0.157,0.097,0.155,0.099,0.111,0.105,0.111,0.371,0.649,0.382,0.496,0.136,0.397,0.125,0.353,0.103,0.136,0.111,0.176,0.567,0.420,3.005,0.551,0.075,0.060,0.464,1.412,1.456,0.601,0.341,0.518,2.847,3.015,65.519,0.421,1.610,1.242,0.736,9.466,9.007,7.481,1.841,0.903,5.717,-0.027,0.000,0.000,0.000
1970-01-31,SHOPS,215,-0.045310,-0.062295,13.225,0.411,9.328,,,14.648,14.530,0.310,7.062,0.000,1.730,1.048,2.76%,,,0.493,0.619,0.139,0.136,0.128,0.269,0.025,0.051,0.062,0.144,0.221,0.050,0.169,0.198,0.133,0.252,0.754,0.257,0.335,0.563,0.213,0.113,0.155,0.086,0.151,0.037,0.187,0.502,0.663,1.415,0.279,0.080,0.062,0.302,1.939,1.001,0.504,0.216,0.439,5.309,8.284,52.566,0.239,2.053,0.871,2.522,5.167,14.096,18.607,4.774,3.901,6.979,0.018,0.000,0.000,0.000
1970-01-31,TELCM,24,-0.085178,-0.030240,15.116,0.297,10.770,,,17.139,15.922,1.644,8.247,0.000,1.938,1.749,3.56%,,,0.500,0.225,0.161,0.160,0.087,0.485,0.115,0.272,0.395,0.127,0.155,0.225,0.174,0.142,0.157,0.391,0.580,0.382,0.437,0.092,0.428,-0.110,0.525,0.172,0.118,0.260,0.100,1.004,0.366,2.084,0.670,0.060,0.050,0.626,0.876,0.920,0.479,0.354,0.444,3.982,6.823,21.685,0.362,1.353,1.111,0.474,11.152,5.339,7.316,1.155,0.664,6.000,-0.047,0.000,0.000,0.000
1970-01-31,UTILS,125,-0.030693,-0.042408,11.170,0.626,9.978,,,6.788,11.339,1.468,6.090,0.114,1.281,1.362,6.35%,,,0.421,0.117,0.122,0.109,0.078,0.412,0.143,0.304,0.412,0.092,0.104,0.234,0.124,0.113,0.123,0.540,0.360,0.540,0.581,0.222,0.481,-0.490,0.768,0.117,0.033,0.246,0.070,1.320,0.153,4.270,1.331,0.048,0.045,0.761,0.659,1.509,0.601,0.498,0.633,2.750,4.021,46.776,0.169,0.778,0.708,0.303,12.780,8.404,8.757,0.724,0.351,15.012,-0.031,0.000,0.000,0.188
