gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,tic,ajexq,curcdq,datacqtr,datafqtr,rdq,actq,cshoq,epsfiq,teqq,cshfdy,oancfy,costat,dvpspq
001078,1962-03-31,1962,1,INDL,C,D,STD,ABT,384.000000000000,USD,1962Q1,1962Q1,,,,,,,,A,
001078,1962-06-30,1962,2,INDL,C,D,STD,ABT,384.000000000000,USD,1962Q2,1962Q2,,,,,,,,A,
001078,1962-09-30,1962,3,INDL,C,D,STD,ABT,384.000000000000,USD,1962Q3,1962Q3,,,,,,,,A,
001078,1962-12-31,1962,4,INDL,C,D,STD,ABT,384.000000000000,USD,1962Q4,1962Q4,,,,,,,,A,
001078,1963-03-31,1963,1,INDL,C,D,STD,ABT,384.000000000000,USD,1963Q1,1963Q1,,,,,,,,A,
001078,1963-06-30,1963,2,INDL,C,D,STD,ABT,384.000000000000,USD,1963Q2,1963Q2,,,,,,,,A,
001078,1963-09-30,1963,3,INDL,C,D,STD,ABT,384.000000000000,USD,1963Q3,1963Q3,,,,,,,,A,
001078,1963-12-31,1963,4,INDL,C,D,STD,ABT,384.000000000000,USD,1963Q4,1963Q4,,,,,,,,A,
001078,1964-03-31,1964,1,INDL,C,D,STD,ABT,384.000000000000,USD,1964Q1,1964Q1,,,,,,,,A,
001078,1964-06-30,1964,2,INDL,C,D,STD,ABT,128.000000000000,USD,1964Q2,1964Q2,,,,,,,,A,
001078,1964-09-30,1964,3,INDL,C,D,STD,ABT,128.000000000000,USD,1964Q3,1964Q3,,,,,,,,A,
001078,1964-12-31,1964,4,INDL,C,D,STD,ABT,128.000000000000,USD,1964Q4,1964Q4,,,,,,,,A,
001078,1965-03-31,1965,1,INDL,C,D,STD,ABT,128.000000000000,USD,1965Q1,1965Q1,,,,,,,,A,
001078,1965-06-30,1965,2,INDL,C,D,STD,ABT,128.000000000000,USD,1965Q2,1965Q2,,,,,,,,A,
001078,1965-09-30,1965,3,INDL,C,D,STD,ABT,128.000000000000,USD,1965Q3,1965Q3,,,,,,,,A,
001078,1965-12-31,1965,4,INDL,C,D,STD,ABT,128.000000000000,USD,1965Q4,1965Q4,,,,,,,,A,
001078,1966-03-31,1966,1,INDL,C,D,STD,ABT,128.000000000000,USD,1966Q1,1966Q1,,,,,,,,A,
001078,1966-06-30,1966,2,INDL,C,D,STD,ABT,128.000000000000,USD,1966Q2,1966Q2,,,,,,,,A,
001078,1966-09-30,1966,3,INDL,C,D,STD,ABT,128.000000000000,USD,1966Q3,1966Q3,,,,,,,,A,
001078,1966-12-31,1966,4,INDL,C,D,STD,ABT,128.000000000000,USD,1966Q4,1966Q4,,,,,,,,A,
001078,1967-03-31,1967,1,INDL,C,D,STD,ABT,128.000000000000,USD,1967Q1,1967Q1,,,,0.5400,,,,A,
001078,1967-06-30,1967,2,INDL,C,D,STD,ABT,128.000000000000,USD,1967Q2,1967Q2,,,,0.4300,,,,A,
001078,1967-09-30,1967,3,INDL,C,D,STD,ABT,128.000000000000,USD,1967Q3,1967Q3,,,,0.4800,,,,A,
001078,1967-12-31,1967,4,INDL,C,D,STD,ABT,128.000000000000,USD,1967Q4,1967Q4,,,,0.6400,,,,A,
001078,1968-03-31,1968,1,INDL,C,D,STD,ABT,128.000000000000,USD,1968Q1,1968Q1,,,,0.5600,,,,A,
001078,1968-06-30,1968,2,INDL,C,D,STD,ABT,128.000000000000,USD,1968Q2,1968Q2,,,,0.5100,,,,A,
001078,1968-09-30,1968,3,INDL,C,D,STD,ABT,128.000000000000,USD,1968Q3,1968Q3,,,,0.5700,,,,A,
001078,1968-12-31,1968,4,INDL,C,D,STD,ABT,128.000000000000,USD,1968Q4,1968Q4,,,,0.7100,,,,A,
001078,1969-03-31,1969,1,INDL,C,D,STD,ABT,128.000000000000,USD,1969Q1,1969Q1,,,,0.6100,,,,A,
001078,1969-06-30,1969,2,INDL,C,D,STD,ABT,128.000000000000,USD,1969Q2,1969Q2,,,,0.5400,,,,A,
001078,1969-09-30,1969,3,INDL,C,D,STD,ABT,128.000000000000,USD,1969Q3,1969Q3,,,,0.6500,,,,A,
001078,1969-12-31,1969,4,INDL,C,D,STD,ABT,128.000000000000,USD,1969Q4,1969Q4,,,13.4950,0.5700,,,,A,
001078,1970-03-31,1970,1,INDL,C,D,STD,ABT,128.000000000000,USD,1970Q1,1970Q1,,,,0.6900,,,,A,
001078,1970-06-30,1970,2,INDL,C,D,STD,ABT,128.000000000000,USD,1970Q2,1970Q2,,,,0.6100,,,,A,
001078,1970-09-30,1970,3,INDL,C,D,STD,ABT,128.000000000000,USD,1970Q3,1970Q3,,,,0.7400,,,,A,
001078,1970-12-31,1970,4,INDL,C,D,STD,ABT,128.000000000000,USD,1970Q4,1970Q4,,,13.5060,0.8800,,,,A,
001078,1971-03-31,1971,1,INDL,C,D,STD,ABT,128.000000000000,USD,1971Q1,1971Q1,,,13.5060,0.3400,,,,A,0.2750
001078,1971-06-30,1971,2,INDL,C,D,STD,ABT,128.000000000000,USD,1971Q2,1971Q2,,,13.5060,0.2200,,,,A,0.2750
001078,1971-09-30,1971,3,INDL,C,D,STD,ABT,128.000000000000,USD,1971Q3,1971Q3,1971-10-26,,13.5060,0.4500,,,,A,0.2750
001078,1971-12-31,1971,4,INDL,C,D,STD,ABT,128.000000000000,USD,1971Q4,1971Q4,1972-02-10,236.4800,13.5160,0.7000,,,,A,0.2750
001078,1972-03-31,1972,1,INDL,C,D,STD,ABT,128.000000000000,USD,1972Q1,1972Q1,1972-04-18,,13.5190,0.6700,,,,A,0.2750
001078,1972-06-30,1972,2,INDL,C,D,STD,ABT,128.000000000000,USD,1972Q2,1972Q2,1972-07-13,,13.5580,0.6200,,,,A,0.2750
001078,1972-09-30,1972,3,INDL,C,D,STD,ABT,128.000000000000,USD,1972Q3,1972Q3,1972-10-18,,13.5660,0.6800,,,,A,0.2750
001078,1972-12-31,1972,4,INDL,C,D,STD,ABT,128.000000000000,USD,1972Q4,1972Q4,1973-02-09,292.6850,13.5710,0.9100,,,,A,0.2750
001078,1973-03-31,1973,1,INDL,C,D,STD,ABT,128.000000000000,USD,1973Q1,1973Q1,1973-04-10,,13.5780,0.7800,,,,A,0.2750
001078,1973-06-30,1973,2,INDL,C,D,STD,ABT,128.000000000000,USD,1973Q2,1973Q2,1973-07-10,,13.6230,0.7400,,,,A,0.3000
001078,1973-09-30,1973,3,INDL,C,D,STD,ABT,128.000000000000,USD,1973Q3,1973Q3,1973-10-11,,13.6230,0.7900,,,,A,0.3000
001078,1973-12-31,1973,4,INDL,C,D,STD,ABT,128.000000000000,USD,1973Q4,1973Q4,1974-02-08,399.9440,13.6230,1.0400,,,,A,0.3000
001078,1974-03-31,1974,1,INDL,C,D,STD,ABT,128.000000000000,USD,1974Q1,1974Q1,1974-04-10,,13.6230,0.9100,,,,A,0.3000
001078,1974-06-30,1974,2,INDL,C,D,STD,ABT,128.000000000000,USD,1974Q2,1974Q2,1974-07-10,,13.6230,0.9000,,,,A,0.3300
001078,1974-09-30,1974,3,INDL,C,D,STD,ABT,128.000000000000,USD,1974Q3,1974Q3,1974-10-10,,13.6230,0.9500,,,,A,0.3300
001078,1974-12-31,1974,4,INDL,C,D,STD,ABT,128.000000000000,USD,1974Q4,1974Q4,1975-02-06,523.4100,13.6230,1.2400,,,,A,0.3300
001078,1975-03-31,1975,1,INDL,C,D,STD,ABT,128.000000000000,USD,1975Q1,1975Q1,1975-04-09,499.7590,27.2470,1.1300,,,,A,0.3300
001078,1975-06-30,1975,2,INDL,C,D,STD,ABT,128.000000000000,USD,1975Q2,1975Q2,1975-07-10,498.5550,13.6270,1.1400,,,,A,0.3600
001078,1975-09-30,1975,3,INDL,C,D,STD,ABT,64.000000000000,USD,1975Q3,1975Q3,1975-10-10,483.6070,27.2530,0.6000,,,,A,0.1800
001078,1975-12-31,1975,4,INDL,C,D,STD,ABT,64.000000000000,USD,1975Q4,1975Q4,1976-02-02,475.2010,27.3070,0.8300,,,,A,0.2000
001078,1976-03-31,1976,1,INDL,C,D,STD,ABT,64.000000000000,USD,1976Q1,1976Q1,1976-04-07,478.7440,27.3390,0.7200,,,,A,0.2000
001078,1976-06-30,1976,2,INDL,C,D,STD,ABT,64.000000000000,USD,1976Q2,1976Q2,1976-07-14,491.1700,27.3590,0.7600,,,,A,0.2200
001078,1976-09-30,1976,3,INDL,C,D,STD,ABT,64.000000000000,USD,1976Q3,1976Q3,1976-10-08,560.2230,29.4130,0.7600,,,,A,0.2200
001078,1976-12-31,1976,4,INDL,C,D,STD,ABT,64.000000000000,USD,1976Q4,1976Q4,1977-01-28,563.6000,29.4790,1.0200,,,,A,0.2200
001078,1977-03-31,1977,1,INDL,C,D,STD,ABT,64.000000000000,USD,1977Q1,1977Q1,1977-04-12,544.2770,29.5020,0.8500,,,,A,0.2500
001078,1977-06-30,1977,2,INDL,C,D,STD,ABT,64.000000000000,USD,1977Q2,1977Q2,1977-07-11,560.4390,29.5260,0.9400,,,,A,0.2500
001078,1977-09-30,1977,3,INDL,C,D,STD,ABT,64.000000000000,USD,1977Q3,1977Q3,1977-10-11,563.0230,29.5770,0.9300,,,,A,0.3000
001078,1977-12-31,1977,4,INDL,C,D,STD,ABT,64.000000000000,USD,1977Q4,1977Q4,1978-01-26,590.3500,29.6450,1.2400,,,,A,0.3000
001078,1978-03-31,1978,1,INDL,C,D,STD,ABT,64.000000000000,USD,1978Q1,1978Q1,1978-04-10,603.5940,29.6770,1.0700,,,,A,0.3000
