year,quarter,r_f,r_mkt,r_me,r_ia,r_roe,r_eg
1967,1,1.1406,13.3616,11.4466,-5.3001,8.4933,-1.1459
1967,2,0.9172,1.8431,8.7787,-2.4629,2.0749,-2.4294
1967,3,0.9601,6.8744,5.3219,3.962,-0.7878,-0.7295
1967,4,1.0668,0.2618,5.3799,-5.0151,5.1894,1.8397
1968,1,1.1806,-7.5774,1.5096,6.1718,-1.4313,5.5496
1968,2,1.3431,12.3258,12.7322,-2.3778,5.8774,-2.4666
1968,3,1.3529,2.6345,2.3595,2.8402,-6.4857,4.0929
1968,4,1.3157,1.8735,5.5274,4.2191,-0.5826,0.9068
1969,1,1.4516,-4.5832,-4.5365,2.3035,2.717,5.159
1969,2,1.5288,-5.8737,-4.5576,1.0915,5.2259,2.5603
1969,3,1.7366,-5.6609,-1.4022,-0.1805,4.5466,4.351
1969,4,1.7176,-1.5599,-3.3809,-1.9456,5.4374,3.0163
1970,1,1.7592,-4.2926,0.2195,8.615,-4.0044,6.4841
1970,2,1.6468,-22.2104,-8.1474,9.9793,2.6081,10.3093
1970,3,1.5015,16.6518,8.4231,-3.3393,-6.2954,-10.1619
1970,4,1.3287,8.0659,-4.6753,4.2707,5.6547,6.228
1971,1,1.0078,10.7649,11.8764,-1.6813,0.1909,-2.8231
1971,2,0.9466,-1.065,-2.4603,1.314,4.7174,2.3918
1971,3,1.2399,-1.6901,-1.5889,4.0343,2.1252,2.0392
1971,4,1.055,3.4991,-1.6278,-3.1722,2.3941,3.0045
1972,1,0.8121,6.1752,6.351,4.3982,-3.4898,3.5179
1972,2,0.8729,-0.8114,-1.8128,-1.2791,6.3579,3.1012
1972,3,0.9649,1.3998,-6.3324,1.8371,2.7631,4.2207
1972,4,1.1862,5.8915,-5.9654,0.5397,-1.4124,3.2668
1973,1,1.3497,-9.1406,-7.8722,0.8463,-2.9432,7.4755
1973,2,1.5559,-9.8565,-8.9918,2.729,0.9283,7.7115
1973,3,2.028,6.0647,12.0265,-1.8628,1.7889,-3.8212
1973,4,1.947,-13.049,-12.2946,6.1821,2.1764,9.2412
1974,1,1.7875,-3.4629,12.9059,4.2718,-3.8596,2.4756
1974,2,2.2239,-12.922,-4.0404,3.2467,5.4761,4.4933
1974,3,2.0835,-26.6243,6.5614,10.5752,2.7329,11.599
1974,4,1.7502,7.0054,-10.583,3.4373,10.0533,4.2544
1975,1,1.3789,23.0972,16.4196,-3.4291,-10.7158,-7.658
1975,2,1.3552,14.7485,3.9459,0.2048,1.7993,1.9013
1975,3,1.5278,-13.2671,0.4003,2.4592,0.9044,5.941
1975,4,1.4363,6.2485,-4.9087,4.5259,0.6232,4.8141
1976,1,1.2247,15.2325,15.0067,6.4106,-4.2349,4.1715
1976,2,1.3066,1.0951,-1.8473,-0.4521,0.1262,1.4844
1976,3,1.3116,0.3687,-1.1064,-1.0533,1.8652,3.2162
1976,4,1.216,3.338,7.7101,0.2926,-1.2341,0.677
1977,1,1.0901,-7.1173,8.4098,0.9248,-0.5279,1.7159
1977,2,1.1731,3.3468,6.018,0.8207,4.6083,6.567
1977,3,1.3254,-3.7696,2.1309,0.0877,4.4129,3.8404
1977,4,1.4673,-0.2037,7.5202,0.6385,2.7927,4.5266
1978,1,1.541,-4.7538,9.7898,4.8223,-1.7611,2.086
1978,2,1.6488,7.9611,5.3892,1.0581,7.9252,2.5876
1978,3,1.7203,7.6725,4.3298,1.7334,-0.0536,2.4706
1978,4,2.2071,-8.6756,-7.8981,-1.0145,2.2089,4.5795
1979,1,2.4328,6.4131,8.9554,2.0893,-1.5806,-0.2687
1979,2,2.4709,1.6734,3.8595,-0.0856,0.2403,-1.518
1979,3,2.3835,5.84,2.9574,0.125,4.2951,2.3888
1979,4,3.0003,-1.5854,2.4308,-3.5857,4.5147,1.4875
1980,1,3.0941,-9.2494,-7.725,3.5706,2.4394,2.5747
1980,2,2.7293,13.0298,4.5964,-1.3959,2.6559,1.7225
1980,3,2.0082,10.6835,10.2289,-2.357,8.1645,0.8114
1980,4,3.2288,5.6083,-2.4684,-0.3799,11.5257,3.9255
1981,1,3.4178,-1.4345,7.3726,2.7899,-5.7738,0.7457
1981,2,3.7001,-4.5136,5.8146,4.5935,1.1344,4.7737
1981,3,3.7984,-15.7167,-4.2449,2.6411,3.8796,5.1606
1981,4,3.1781,4.5835,1.9707,1.7654,4.8586,2.6464
1982,1,2.7809,-11.3137,0.8179,7.9747,-2.7366,5.9373
1982,2,3.1925,-4.2334,1.2344,3.5724,1.5455,5.1431
1982,3,2.3851,9.0564,2.0373,2.9425,5.9368,5.2523
1982,4,1.9084,17.473,5.1492,0.9959,2.0549,3.4814
1983,1,1.9501,9.1051,8.3467,4.0325,2.1212,2.5109
1983,2,2.1312,10.8265,8.8131,-0.5499,-1.4726,1.1271
1983,3,2.304,-3.5679,-3.5176,5.2696,3.9031,6.0265
1983,4,2.1828,-3.1647,-3.111,5.0639,-0.1982,3.0874
1984,1,2.2863,-6.1751,-2.9074,3.8518,-4.9087,2.7221
1984,2,2.3747,-5.1444,-0.863,-2.6008,5.618,4.9446
1984,3,2.522,6.4964,-3.0247,0.9094,5.1742,4.7011
1984,4,2.4214,-1.157,-2.808,1.1334,5.9527,4.7247
1985,1,1.8783,8.335,2.0595,1.3896,3.6771,3.0995
1985,2,1.9295,5.2177,-2.8133,0.0361,6.3287,5.0838
1985,3,1.8146,-6.2816,0.2236,3.2584,-0.1203,4.1504
1985,4,1.8428,14.6407,-0.1733,-3.1069,6.3169,1.1942
1986,1,1.6211,12.5191,1.429,-1.1885,6.5625,4.8048
1986,2,1.5601,4.1789,-0.3235,1.3753,9.6982,2.0712
1986,3,1.4477,-9.1169,-6.0259,7.3047,-3.1606,3.7928
1986,4,1.2955,2.4078,-3.1403,1.6237,3.9574,6.1181
1987,1,1.3532,19.7024,1.7514,1.3473,2.1715,3.5571
1987,2,1.3133,1.8044,-5.3319,1.5964,-2.651,0.215
1987,3,1.3684,4.6855,-1.6395,1.9003,2.8461,3.8086
1987,4,1.2442,-24.325,-4.618,2.0387,2.4994,4.0706
1988,1,1.1773,6.8883,9.2075,2.6327,-5.6447,-4.5652
1988,2,1.453,4.8962,2.6218,-0.361,2.8697,4.2539
1988,3,1.726,-1.6437,-1.1858,2.4319,-1.2802,0.4576
1988,4,1.8232,0.3808,-2.3805,2.3744,0.4671,1.4802
1989,1,1.8198,5.2879,2.3233,3.1254,-0.9674,2.1899
1989,2,2.2124,6.2014,-1.6887,1.5463,2.334,-0.8764
1989,3,2.0246,7.9095,-2.1867,0.4654,8.4736,4.8233
1989,4,1.9223,-1.314,-6.6921,4.5387,2.6313,4.224
1990,1,1.8159,-5.1636,0.9785,-0.4073,1.7384,1.4084
1990,2,1.9253,3.444,-0.2186,-1.4189,8.4109,2.9403
1990,3,1.896,-16.784,-9.1998,8.9178,0.7758,3.5418
1990,4,1.8309,6.5168,-3.788,-5.6518,7.7962,4.0751
1991,1,1.3858,14.7432,12.3896,-5.2095,0.7987,1.2491
