permno,adate,qdate,public_date,evm,pe_exi,gpm,roe,capital_ratio,debt_ebitda,PEG_trailing,divyield,TICKER
10107,2009-06-30,2009-09-30,2010-01-31,9.091,18.299,0.831,0.381,0.047,0.181,2.039,1.85%,MSFT
10107,2009-06-30,2009-12-31,2010-02-28,9.138,15.840,0.842,0.427,0.065,0.202,0.910,1.81%,MSFT
10107,2009-06-30,2009-12-31,2010-03-31,9.138,16.181,0.842,0.427,0.065,0.202,0.930,1.78%,MSFT
10107,2009-06-30,2009-12-31,2010-04-30,9.138,16.870,0.842,0.427,0.065,0.202,0.970,1.70%,MSFT
10107,2009-06-30,2010-03-31,2010-05-31,9.939,13.368,0.846,0.425,0.081,0.238,1.119,2.02%,MSFT
10107,2009-06-30,2010-03-31,2010-06-30,9.939,11.922,0.846,0.425,0.081,0.238,0.998,2.26%,MSFT
10107,2009-06-30,2010-03-31,2010-07-31,9.939,13.373,0.846,0.425,0.081,0.238,1.120,2.01%,MSFT
10107,2010-06-30,2010-06-30,2010-08-31,7.703,11.174,0.842,0.436,0.097,0.223,0.699,2.22%,MSFT
10107,2010-06-30,2010-06-30,2010-09-30,7.703,11.662,0.842,0.436,0.097,0.223,0.730,2.12%,MSFT
10107,2010-06-30,2010-06-30,2010-10-31,7.703,12.698,0.842,0.436,0.097,0.223,0.794,1.95%,MSFT
10107,2010-06-30,2010-09-30,2010-11-30,8.157,10.887,0.848,0.460,0.108,0.242,0.574,2.53%,MSFT
10107,2010-06-30,2010-09-30,2010-12-31,8.157,12.030,0.848,0.460,0.108,0.242,0.634,2.29%,MSFT
10107,2010-06-30,2010-09-30,2011-01-31,8.157,11.950,0.848,0.460,0.108,0.242,0.630,2.31%,MSFT
10107,2010-06-30,2010-12-31,2011-02-28,7.997,11.311,0.833,0.445,0.130,0.277,1.032,2.41%,MSFT
10107,2010-06-30,2010-12-31,2011-03-31,7.997,10.804,0.833,0.445,0.130,0.277,0.986,2.52%,MSFT
10107,2010-06-30,2010-12-31,2011-04-30,7.997,11.030,0.833,0.445,0.130,0.277,1.006,2.47%,MSFT
10107,2010-06-30,2011-03-31,2011-05-31,7.538,9.925,0.822,0.459,0.157,0.321,0.698,2.56%,MSFT
10107,2010-06-30,2011-03-31,2011-06-30,7.538,10.317,0.822,0.459,0.157,0.321,0.726,2.46%,MSFT
10107,2010-06-30,2011-03-31,2011-07-31,7.538,10.873,0.822,0.459,0.157,0.321,0.765,2.34%,MSFT
10107,2011-06-30,2011-06-30,2011-08-31,7.734,9.888,0.814,0.441,0.173,0.401,0.669,2.41%,MSFT
10107,2011-06-30,2011-06-30,2011-09-30,7.734,9.253,0.814,0.441,0.173,0.401,0.626,2.57%,MSFT
10107,2011-06-30,2011-06-30,2011-10-31,7.734,9.900,0.814,0.441,0.173,0.401,0.670,2.40%,MSFT
10107,2011-06-30,2011-09-30,2011-11-30,7.664,9.302,0.811,0.447,0.172,0.378,0.560,3.13%,MSFT
10107,2011-06-30,2011-09-30,2011-12-31,7.664,9.440,0.811,0.447,0.172,0.378,0.569,3.08%,MSFT
10107,2011-06-30,2011-09-30,2012-01-31,7.664,10.738,0.811,0.447,0.172,0.378,0.647,2.71%,MSFT
10107,2011-06-30,2011-12-31,2012-02-29,7.582,11.500,0.803,0.421,0.169,0.399,0.783,2.52%,MSFT
10107,2011-06-30,2011-12-31,2012-03-31,7.582,11.687,0.803,0.421,0.169,0.399,0.796,2.48%,MSFT
10107,2011-06-30,2011-12-31,2012-04-30,7.582,11.600,0.803,0.421,0.169,0.399,0.790,2.50%,MSFT
10107,2011-06-30,2012-03-31,2012-05-31,7.870,10.653,0.805,0.391,0.161,0.390,0.636,2.74%,MSFT
10107,2011-06-30,2012-03-31,2012-06-30,7.870,11.164,0.805,0.391,0.161,0.390,0.667,2.62%,MSFT
10107,2011-06-30,2012-03-31,2012-07-31,7.870,10.755,0.805,0.391,0.161,0.390,0.643,2.71%,MSFT
10107,2012-06-30,2012-06-30,2012-08-31,8.736,15.410,0.800,0.268,0.139,0.389,1.441,2.60%,MSFT
10107,2012-06-30,2012-06-30,2012-09-30,8.736,14.880,0.800,0.268,0.139,0.389,1.392,2.69%,MSFT
10107,2012-06-30,2012-06-30,2012-10-31,8.736,14.270,0.800,0.268,0.139,0.389,1.335,2.80%,MSFT
10107,2012-06-30,2012-09-30,2012-11-30,8.990,14.386,0.793,0.238,0.142,0.412,1.184,3.46%,MSFT
10107,2012-06-30,2012-09-30,2012-12-31,8.990,14.438,0.793,0.238,0.142,0.412,1.188,3.44%,MSFT
10107,2012-06-30,2012-09-30,2013-01-31,8.990,14.838,0.793,0.238,0.142,0.412,1.221,3.35%,MSFT
10107,2012-06-30,2012-12-31,2013-02-28,9.029,15.275,0.799,0.225,0.138,0.429,3.465,3.31%,MSFT
10107,2012-06-30,2012-12-31,2013-03-31,9.029,15.717,0.799,0.225,0.138,0.429,3.566,3.22%,MSFT
10107,2012-06-30,2012-12-31,2013-04-30,9.029,18.187,0.799,0.225,0.138,0.429,4.126,2.78%,MSFT
10107,2012-06-30,2013-03-31,2013-05-31,8.141,18.083,0.799,0.231,0.135,0.417,5.571,2.64%,MSFT
10107,2012-06-30,2013-03-31,2013-06-30,8.141,17.899,0.799,0.231,0.135,0.417,5.514,2.66%,MSFT
10107,2012-06-30,2013-03-31,2013-07-31,8.141,16.497,0.799,0.231,0.135,0.417,5.082,2.89%,MSFT
10107,2013-06-30,2013-06-30,2013-08-31,9.836,12.946,0.783,0.294,0.138,0.506,1.235,2.75%,MSFT
10107,2013-06-30,2013-06-30,2013-09-30,9.836,12.899,0.783,0.294,0.138,0.506,1.231,2.76%,MSFT
10107,2013-06-30,2013-06-30,2013-10-31,9.836,13.723,0.783,0.294,0.138,0.506,1.309,2.60%,MSFT
10107,2013-06-30,2013-09-30,2013-11-30,8.362,14.175,0.786,0.296,0.137,0.461,1.362,2.94%,MSFT
10107,2013-06-30,2013-09-30,2013-12-31,8.362,13.907,0.786,0.296,0.137,0.461,1.337,2.99%,MSFT
10107,2013-06-30,2013-09-30,2014-01-31,8.362,14.067,0.786,0.296,0.137,0.461,1.352,2.96%,MSFT
10107,2013-06-30,2013-12-31,2014-02-28,8.973,14.137,0.765,0.287,0.152,0.521,1.313,2.92%,MSFT
10107,2013-06-30,2013-12-31,2014-03-31,8.973,15.125,0.765,0.287,0.152,0.521,1.405,2.73%,MSFT
10107,2013-06-30,2013-12-31,2014-04-30,8.973,14.908,0.765,0.287,0.152,0.521,1.385,2.77%,MSFT
10107,2013-06-30,2014-03-31,2014-05-31,10.154,15.333,0.753,0.271,0.167,0.607,2.627,2.74%,MSFT
10107,2013-06-30,2014-03-31,2014-06-30,10.154,15.618,0.753,0.271,0.167,0.607,2.676,2.69%,MSFT
10107,2013-06-30,2014-03-31,2014-07-31,10.154,16.165,0.753,0.271,0.167,0.607,2.770,2.59%,MSFT
10107,2014-06-30,2014-06-30,2014-08-31,11.535,17.274,0.738,0.255,0.187,0.713,9.801,2.47%,MSFT
10107,2014-06-30,2014-06-30,2014-09-30,11.535,17.627,0.738,0.255,0.187,0.713,10.001,2.42%,MSFT
10107,2014-06-30,2014-06-30,2014-10-31,11.535,17.852,0.738,0.255,0.187,0.713,10.129,2.39%,MSFT
10107,2014-06-30,2014-09-30,2014-11-30,10.840,18.749,0.731,0.242,0.186,0.680,7.526,2.59%,MSFT
10107,2014-06-30,2014-09-30,2014-12-31,10.840,18.216,0.731,0.242,0.186,0.680,7.312,2.67%,MSFT
10107,2014-06-30,2014-09-30,2015-01-31,10.840,15.843,0.731,0.242,0.186,0.680,6.360,3.07%,MSFT
10107,2014-06-30,2014-12-31,2015-02-28,11.303,17.681,0.720,0.228,0.178,0.713,8.345,2.83%,MSFT
10107,2014-06-30,2014-12-31,2015-03-31,11.303,16.393,0.720,0.228,0.178,0.713,7.737,3.05%,MSFT
10107,2014-06-30,2014-12-31,2015-04-30,11.303,19.613,0.720,0.228,0.178,0.713,9.257,2.55%,MSFT
10107,2014-06-30,2015-03-31,2015-05-31,11.283,19.444,0.714,0.216,0.190,0.778,,2.65%,MSFT
10107,2014-06-30,2015-03-31,2015-06-30,11.283,18.320,0.714,0.216,0.190,0.778,,2.81%,MSFT
10107,2014-06-30,2015-03-31,2015-07-31,11.283,19.378,0.714,0.216,0.190,0.778,,2.66%,MSFT
10107,2015-06-30,2015-06-30,2015-08-31,11.607,29.405,0.705,0.139,0.258,1.051,,2.85%,MSFT
10107,2015-06-30,2015-06-30,2015-09-30,11.607,29.905,0.705,0.139,0.258,1.051,,2.80%,MSFT
10107,2015-06-30,2015-06-30,2015-10-31,11.607,35.568,0.705,0.139,0.258,1.051,,2.36%,MSFT
10107,2015-06-30,2015-09-30,2015-11-30,11.779,35.523,0.714,0.138,0.230,1.016,78.960,2.65%,MSFT
10107,2015-06-30,2015-09-30,2015-12-31,11.779,36.261,0.714,0.138,0.230,1.016,52.308,2.60%,MSFT
10107,2015-06-30,2015-09-30,2016-01-31,11.779,36.007,0.714,0.138,0.230,1.016,48.357,2.61%,MSFT
10107,2015-06-30,2015-12-31,2016-02-29,13.125,35.333,0.708,0.134,0.276,1.211,,2.83%,MSFT
10107,2015-06-30,2015-12-31,2016-03-31,13.125,38.354,0.708,0.134,0.276,1.211,,2.61%,MSFT
10107,2015-06-30,2015-12-31,2016-04-30,13.125,34.632,0.708,0.134,0.276,1.211,,2.89%,MSFT
10107,2015-06-30,2016-03-31,2016-05-31,14.708,40.769,0.700,0.125,0.307,1.387,,2.72%,MSFT
10107,2015-06-30,2016-03-31,2016-06-30,14.708,39.362,0.700,0.125,0.307,1.387,,2.81%,MSFT
10107,2015-06-30,2016-03-31,2016-07-31,14.708,43.600,0.700,0.125,0.307,1.387,,2.54%,MSFT
10107,2016-06-30,2016-06-30,2016-08-31,16.710,27.362,0.685,0.215,0.366,2.005,70.781,2.51%,MSFT
10107,2016-06-30,2016-06-30,2016-09-30,16.710,27.429,0.685,0.215,0.366,2.005,76.485,2.50%,MSFT
10107,2016-06-30,2016-06-30,2016-10-31,16.710,28.533,0.685,0.215,0.366,2.005,76.702,2.40%,MSFT
10107,2016-06-30,2016-09-30,2016-11-30,16.643,27.391,0.696,0.227,0.385,1.893,,2.59%,MSFT
10107,2016-06-30,2016-09-30,2016-12-31,16.643,28.245,0.696,0.227,0.385,1.893,,2.51%,MSFT
10107,2016-06-30,2016-09-30,2017-01-31,16.643,29.386,0.696,0.227,0.385,1.893,,2.41%,MSFT
10107,2016-06-30,2016-12-31,2017-02-28,15.982,26.882,0.709,0.249,0.417,2.076,5.429,2.44%,MSFT
10107,2016-06-30,2016-12-31,2017-03-31,15.982,27.672,0.709,0.249,0.417,2.076,5.588,2.37%,MSFT
10107,2016-06-30,2016-12-31,2017-04-30,15.982,28.765,0.709,0.249,0.417,2.076,5.809,2.28%,MSFT
10107,2016-06-30,2017-03-31,2017-05-31,15.787,26.759,0.722,0.281,0.462,2.232,1.785,2.23%,MSFT
10107,2016-06-30,2017-03-31,2017-06-30,15.787,26.410,0.722,0.281,0.462,2.232,1.762,2.26%,MSFT
10107,2016-06-30,2017-03-31,2017-07-31,15.787,27.854,0.722,0.281,0.462,2.232,1.858,2.15%,MSFT
10107,2017-06-30,2017-06-30,2017-08-31,20.374,27.590,0.706,0.290,0.520,2.915,3.042,2.09%,MSFT
10107,2017-06-30,2017-06-30,2017-09-30,20.374,27.487,0.706,0.290,0.520,2.915,3.030,2.09%,MSFT
10107,2017-06-30,2017-06-30,2017-10-31,20.374,30.694,0.706,0.290,0.520,2.915,3.384,1.88%,MSFT
10107,2017-06-30,2017-09-30,2017-11-30,15.409,24.976,0.746,0.371,0.501,2.242,1.315,2.00%,MSFT
10107,2017-06-30,2017-09-30,2017-12-31,15.409,25.383,0.746,0.371,0.501,2.242,1.337,1.96%,MSFT
10107,2017-06-30,2017-09-30,2018-01-31,15.409,28.193,0.746,0.371,0.501,2.242,1.485,1.77%,MSFT
10107,2017-06-30,2017-12-31,2018-02-28,16.153,52.977,0.746,0.179,0.511,2.263,,1.79%,MSFT
10107,2017-06-30,2017-12-31,2018-03-31,16.153,51.565,0.746,0.179,0.511,2.263,,1.84%,MSFT
10107,2017-06-30,2017-12-31,2018-04-30,16.153,52.836,0.746,0.179,0.511,2.263,,1.80%,MSFT
10107,2017-06-30,2018-03-31,2018-05-31,16.610,48.931,0.745,0.197,0.508,2.182,4.572,1.70%,MSFT
10107,2017-06-30,2018-03-31,2018-06-30,16.610,48.817,0.745,0.197,0.508,2.182,4.562,1.70%,MSFT
10107,2017-06-30,2018-03-31,2018-07-31,16.610,52.515,0.745,0.197,0.508,2.182,4.907,1.58%,MSFT
10107,2018-06-30,2018-06-30,2018-08-31,18.785,52.737,0.742,0.212,0.498,1.946,3.194,1.50%,MSFT
10107,2018-06-30,2018-06-30,2018-09-30,18.785,53.695,0.742,0.212,0.498,1.946,3.252,1.47%,MSFT
10107,2018-06-30,2018-06-30,2018-10-31,18.785,50.146,0.742,0.212,0.498,1.946,3.037,1.57%,MSFT
10107,2018-06-30,2018-09-30,2018-11-30,17.538,46.012,0.744,0.220,0.501,1.901,2.016,1.66%,MSFT
10107,2018-06-30,2018-09-30,2018-12-31,17.538,42.145,0.744,0.220,0.501,1.901,1.846,1.81%,MSFT
10107,2018-06-30,2018-09-30,2019-01-31,17.538,43.332,0.744,0.220,0.501,1.901,1.898,1.76%,MSFT
10107,2018-06-30,2018-12-31,2019-02-28,17.356,25.993,0.744,0.401,0.489,1.750,0.426,1.64%,MSFT
10107,2018-06-30,2018-12-31,2019-03-31,17.356,27.364,0.744,0.401,0.489,1.750,0.448,1.56%,MSFT
10107,2018-06-30,2018-12-31,2019-04-30,17.356,30.302,0.744,0.401,0.489,1.750,0.496,1.41%,MSFT
10107,2018-06-30,2019-03-31,2019-05-31,17.561,27.484,0.747,0.403,0.474,1.663,0.410,1.49%,MSFT
10107,2018-06-30,2019-03-31,2019-06-30,17.561,29.769,0.747,0.403,0.474,1.663,0.444,1.37%,MSFT
10107,2018-06-30,2019-03-31,2019-07-31,17.561,30.282,0.747,0.403,0.474,1.663,0.452,1.35%,MSFT
10107,2019-06-30,2019-06-30,2019-08-31,20.351,27.245,0.751,0.422,0.436,1.585,0.563,1.33%,MSFT
10107,2019-06-30,2019-06-30,2019-09-30,20.351,27.476,0.751,0.422,0.436,1.585,0.568,1.32%,MSFT
10107,2019-06-30,2019-06-30,2019-10-31,20.351,28.334,0.751,0.422,0.436,1.585,0.585,1.28%,MSFT
10107,2019-06-30,2019-09-30,2019-11-30,17.883,28.508,0.757,0.431,0.446,1.495,0.590,1.35%,MSFT
10107,2019-06-30,2019-09-30,2019-12-31,17.883,29.699,0.757,0.431,0.446,1.495,0.614,1.29%,MSFT
10107,2019-06-30,2019-09-30,2020-01-31,17.883,32.058,0.757,0.431,0.446,1.495,0.663,1.20%,MSFT
10107,2019-06-30,2019-12-31,2020-02-29,18.481,28.176,0.767,0.444,0.434,1.408,0.559,1.26%,MSFT
10107,2019-06-30,2019-12-31,2020-03-31,18.481,27.428,0.767,0.444,0.434,1.408,0.544,1.29%,MSFT
10107,2019-06-30,2019-12-31,2020-04-30,18.481,31.167,0.767,0.444,0.434,1.408,0.618,1.14%,MSFT
10107,2019-06-30,2020-03-31,2020-05-31,18.800,30.491,0.770,0.445,0.422,1.337,0.684,1.11%,MSFT
10107,2019-06-30,2020-03-31,2020-06-30,18.800,33.862,0.770,0.445,0.422,1.337,0.760,1.00%,MSFT
10107,2019-06-30,2020-03-31,2020-07-31,18.800,34.111,0.770,0.445,0.422,1.337,0.765,.995%,MSFT
10107,2020-06-30,2020-06-30,2020-08-31,24.868,39.155,0.764,0.401,0.392,1.258,0.904,.905%,MSFT
10107,2020-06-30,2020-06-30,2020-09-30,24.868,36.516,0.764,0.401,0.392,1.258,0.843,.970%,MSFT
10107,2020-06-30,2020-06-30,2020-10-31,24.868,35.151,0.764,0.401,0.392,1.258,0.811,1.01%,MSFT
10107,2020-06-30,2020-09-30,2020-11-30,21.370,34.583,0.768,0.422,0.398,1.226,0.957,1.05%,MSFT
10107,2020-06-30,2020-09-30,2020-12-31,21.370,35.932,0.768,0.422,0.398,1.226,0.994,1.01%,MSFT
10107,2020-06-30,2020-09-30,2021-01-31,21.370,37.473,0.768,0.422,0.398,1.226,1.037,.966%,MSFT
10107,2020-06-30,2020-12-31,2021-02-28,21.955,34.632,0.762,0.439,0.384,1.150,0.537,.964%,MSFT
10107,2020-06-30,2020-12-31,2021-03-31,21.955,35.137,0.762,0.439,0.384,1.150,0.544,.950%,MSFT
10107,2020-06-30,2020-12-31,2021-04-30,21.955,37.583,0.762,0.439,0.384,1.150,0.582,.888%,MSFT
10107,2020-06-30,2021-03-31,2021-05-31,22.727,34.016,0.758,0.460,0.369,1.082,0.572,.897%,MSFT
10107,2020-06-30,2021-03-31,2021-06-30,22.727,36.907,0.758,0.460,0.369,1.082,0.620,.827%,MSFT
10107,2020-06-30,2021-03-31,2021-07-31,22.727,38.816,0.758,0.460,0.369,1.082,0.653,.786%,MSFT
10107,2021-06-30,2021-06-30,2021-08-31,26.222,37.501,0.754,0.470,0.335,1.018,0.589,.742%,MSFT
10107,2021-06-30,2021-06-30,2021-09-30,26.222,35.021,0.754,0.470,0.335,1.018,0.550,.795%,MSFT
10107,2021-06-30,2021-06-30,2021-10-31,26.222,41.195,0.754,0.470,0.335,1.018,0.647,.675%,MSFT
10107,2021-06-30,2021-09-30,2021-11-30,22.923,36.979,0.758,0.512,0.341,0.940,0.612,.750%,MSFT
10107,2021-06-30,2021-09-30,2021-12-31,22.923,37.620,0.758,0.512,0.341,0.940,0.622,.737%,MSFT
10107,2021-06-30,2021-09-30,2022-01-31,22.923,34.785,0.758,0.512,0.341,0.940,0.575,.797%,MSFT
10107,2021-06-30,2021-12-31,2022-02-28,23.947,31.820,0.759,0.509,0.328,0.881,1.060,.830%,MSFT
10107,2021-06-30,2021-12-31,2022-03-31,23.947,32.834,0.759,0.509,0.328,0.881,1.094,.804%,MSFT
10107,2021-06-30,2021-12-31,2022-04-30,23.947,29.555,0.759,0.509,0.328,0.881,0.985,.894%,MSFT
10107,2021-06-30,2022-03-31,2022-05-31,24.285,28.379,0.759,0.492,0.319,0.834,0.988,.912%,MSFT
