gvkey,datadate,tic,actq,ancq,epsfxq,lctq,ltq,revtq,capxy,roa,roe,pe_inc,divyield,pcf,roce,debt_ebitda,gpm,evm,cfm,npm,PEG_trailing,de_ratio,curr_ratio,ptb,roa_change,roe_change,pe_inc_change,divyield_change,pcf_change,roce_change,debt_ebitda_change,gpm_change,evm_change,cfm_change,npm_change,PEG_trailing_change,de_ratio_change,curr_ratio_change,ptb_change,relative_quarterly_return,target
2086,1970-03-31,BAX,0.0,0.0,-0.2,0.0,0.0,0.001426697655,0.0,0.134,0.155,48.364,0.386,-173.86,0.129,3.104,0.462,37.617,0.105,0.081,2.617,0.952,4.134,6.639,0.0,0.0,-0.2644258555,0.2697368421,-0.3438750094,0.0,0.0,0.0,0.0,0.0,0.0,-0.3131233596,0.0,0.0,-0.2129223474,0.08968696805,-0.08514501416
7257,1970-03-31,MRK,0.0,0.0,0.1,0.0,0.0,0.04586781544,0.0,0.412,0.067,29.066,2.62,25.167,0.468,0.07,0.705,19.127,0.19,0.15,4.099,0.3,2.898,7.262,0.0,-0.7351778656,-0.2028413142,0.297029703,-0.2293771817,0.0,0.0,0.0,0.0,0.0,-0.03846153846,-0.4062002028,0.0,0.0,-0.2293324843,-0.07094955674,0.04283137273
6066,1970-03-31,IBM,0.0,0.0,-0.06912442396,0.0,0.0,-0.09550013141,0.0,0.414,0.038,33.056,1.73,19.589,0.346,0.215,0.766,14.374,0.27,0.132,1.561,0.4,2.263,5.93,0.0,-0.7978723404,-0.2023743455,0.2269503546,-0.1829405631,0.0,0.0,0.0,0.0,0.0,0.01538461538,-0.2598387862,0.0,0.0,-0.1829705153,-0.04493505389,-0.07278197247
1209,1970-03-31,APD,0.0,0.0,0.1818181818,0.0,0.0,0.08905690273,0.0,0.146,0.097,15.323,0.53,14.417,0.12,2.68,0.521,7.05,0.146,0.058,0.931,1.352,1.556,1.293,0.0,0.0,-0.1362944592,0.1041666667,-0.09480755949,0.0,0.0,0.0,0.0,0.0,-0.01694915254,-0.3632010944,0.0,0.0,-0.09517144857,0.1308264148,0.0711857245
1078,1970-03-31,ABT,0.0,0.0,-0.1153846154,0.0,0.0,-0.01625058234,0.0,0.224,0.556,25.408,1.77,34.228,0.243,0.921,0.565,13.659,0.115,0.087,1.904,0.619,2.219,3.677,0.0,2.564102564,-0.2037356232,0.2206896552,-0.1768553701,0.0,0.0,0.0,0.0,0.0,0.0,-0.2955974843,0.0,0.0,-0.1770367055,-0.01608783132,0.02825495334
8530,1970-03-31,PFE,0.0,0.0,-0.2056074766,0.0,0.0,-0.08537894575,0.0,0.231,0.146,26.25,2.01,19.601,0.264,0.517,0.612,12.66,0.12,0.089,31.619,0.571,2.293,3.819,0.0,0.0,-0.1954022989,0.2108433735,-0.3403446187,0.0,-0.02083333333,0.01157024793,-0.02832143679,0.0,0.0,7.552610225,0.0,0.0,-0.1740916955,0.03969722017,-0.5237459078
3170,1970-03-31,CL,0.0,0.0,-0.1428571429,0.0,0.0,0.2140029222,0.0,0.171,0.018,13.424,3.77,13.339,0.215,0.606,0.526,7.548,0.049,0.033,2.084,0.794,2.126,1.616,0.0,-0.8512396694,-0.207041172,0.2442244224,-0.1953308801,0.0,0.0,0.0,0.0,0.0,0.0,-0.13562837,0.0,0.0,-0.1956197113,-0.007312039247,-0.05261475894
2991,1970-03-31,CVX,0.0,0.0,-0.08955223881,0.0,0.0,0.02800369117,0.0,0.11,0.02,8.317,6.44,4.854,0.068,1.14,0.295,7.841,0.195,0.114,2.446,0.388,1.683,0.833,0.0,-0.8095238095,-0.02963481507,0.09337860781,-0.1293273543,0.0,0.01604278075,0.0,0.01554202823,-0.025,-0.04201680672,0.0439607341,0.0,0.0,-0.08461538462,-0.1031885233,0.09315889167
1722,1970-03-31,ADM,0.0,0.0,0.28125,0.0,0.0,0.0,0.0,0.052,0.057,10.973,4.19,3.679,0.036,4.403,0.056,13.817,0.021,0.011,0.22,0.622,4.072,0.712,0.0,3.75,-0.4906938965,0.5518518519,-0.1940854326,0.0,0.0,0.0,0.0,0.0,0.0,-0.8266351458,0.0,0.0,-0.1945701357,0.06211044713,-0.3846118678
3980,1970-03-31,DIS,0.0,0.0,-0.08823529412,0.0,0.0,-0.06086686608,0.0,0.198,0.066,36.007,0.259,19.973,0.195,1.317,0.269,11.909,0.156,0.117,1.723,0.629,3.976,3.909,0.0,0.5,-0.2530597851,0.3015075377,-0.2142182705,0.0,0.0,0.0,0.0,0.0,0.05405405405,-0.3027114529,0.0,0.0,-0.2142713568,0.1271415349,-0.01557240781
