date,BIDLO,ASKHI,PRC,VOL,RET,OPENPRC,epsfxq,ltq,niq,revtq,capxy,npm,de_ratio,curr_ratio,ptb
2010-01-04,68.19,69.26,69.15,27811300,0.014078,68.72,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381
2010-01-05,68.8,69.45,69.42,30178600,0.003905,69.19,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381
2010-01-06,69.34,70.6,70.02,35047500,0.008643,69.45,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381
2010-01-07,69.415,70.06,69.8,27194100,-0.003142,69.9,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381
2010-01-08,69.22,69.75,69.52,24899500,-0.004012,69.69,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381
2010-01-11,69.65,70.52,70.3,30684900,0.01122,69.94,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381
2010-01-12,69.52,69.99,69.95,31497600,-0.004979,69.72,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381
2010-01-13,69.26,70.04,69.67,24885000,-0.004003,69.96,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381
2010-01-14,69.35,69.74,69.68,18637800,0.000144,69.54,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381
2010-01-15,68.65,69.69,69.11,29412800,-0.00818,69.65,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381
2010-01-19,68.42,69.35,69.27,26088300,0.002315,68.74,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381
2010-01-20,67.9325,68.66,68.03,34630600,-0.017901,68.56,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381
2010-01-21,66.5,68.15,66.7,39118700,-0.01955,68.12,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381
2010-01-22,66.0,67.14,66.1,39088400,-0.008995,66.52,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381
2010-01-25,65.69,66.76,65.85,29305100,-0.003782,66.55,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381
2010-01-26,65.5,66.74,65.92,34084400,0.001063,65.64,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381
2010-01-27,65.0,66.06,65.54,35726200,-0.005765,65.66,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381
2010-01-28,64.57,65.85,64.96,37364500,-0.00885,65.85,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381
2010-01-29,64.02,65.82,64.43,40880400,-0.008159,65.15,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381
2010-02-01,65.35,66.41,66.18,37703000,0.027161,65.77,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381
2010-02-02,66.47,67.12,66.96,34063200,0.011786,66.73,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381
2010-02-03,66.56,67.23,66.6,24024800,-0.005376,66.88,1.27,117931.0,6050.0,80106.0,22491.0,0.07,1.067,1.061,2.381
