gvkey,datadate,tic,actq,ancq,epsfxq,lctq,ltq,revtq,capxy,roa,roe,pe_inc,divyield,pcf,roce,fcf_ocf,debt_ebitda,gpm,opmad,evm,intcov_ratio,at_turn,cfm,npm,PEG_trailing,de_ratio,curr_ratio,ptb,price,relative_quarterly_return,target
1690,1980-12-31,AAPL,145.72,16.402,0.14,28.866,31.117,67.621,,0.851,0.868,80.303,,-74.325,1.24,,0.027,0.433,0.202,13.535,56.192,2.206,0.112,0.1,,0.556,2.612,11.083,34.12496948,,-0.28381891270125936
1690,1981-03-31,AAPL,173.152,17.587,0.16,39.428,43.693,78.765,,0.606,0.468,77.035,,-85.319,1.587,,0.02,0.44,0.194,17.753,45.675,1.917,0.112,0.104,,0.42,3.234,12.188,24.49998474,-0.28381891270125936,0.09644511616534701
1690,1981-06-30,AAPL,201.262,21.085,0.21,49.914,58.268,90.719,,0.539,0.388,34.698,,-56.89,2.136,,0.028,0.463,0.206,18.791,54.142,1.74,0.112,0.115,,0.368,3.681,6.507,25.99998474,0.09644511616534701,-0.2989121448014944
1690,1981-09-30,AAPL,227.104,27.734,0.19,70.28,77.451,97.678,,0.467,0.376,26.607,,-44.727,0.583,,0.182,0.487,0.198,11.468,50.879,2.091,0.143,0.118,,0.437,3.231,5.659,15.24999619,-0.2989121448014944,0.3959903198779462
1690,1981-12-31,AAPL,249.16,36.026,0.24,83.952,92.894,133.553,,0.409,0.286,22.812,,-180.62,0.429,,0.031,0.503,0.186,14.316,50.879,1.682,0.14,0.114,,0.4,3.492,5.086,22.12498474,0.3959903198779462,-0.1508745905647858
1690,1982-03-31,AAPL,263.14,39.249,0.24,72.3,85.1,131.019,,0.402,0.285,15.909,,31.409,0.479,,0.028,0.519,0.183,11.643,50.879,1.702,0.139,0.111,,0.418,3.403,3.478,16.87498474,-0.1508745905647858,-0.2234543478188763
1690,1982-06-30,AAPL,283.437,40.524,0.26,76.377,89.427,142.681,,0.39,0.274,19.355,,21.844,0.507,,0.027,0.53,0.174,9.045,50.879,1.732,0.138,0.106,,0.42,3.377,4.176,12.74999619,-0.2234543478188763,0.3327493914162245
1690,1982-09-30,AAPL,317.075,40.712,0.32,85.756,100.695,175.808,,0.388,0.271,30.071,,22.712,0.449,0.672,0.062,0.534,0.175,8.84,,1.903,0.134,0.105,,0.392,3.697,6.792,18.24998474,0.3327493914162245,0.4690753632348894
1690,1982-12-31,AAPL,361.065,47.092,0.4,94.876,118.414,214.293,,0.437,0.302,37.398,,25.365,0.461,0.672,0.023,0.547,0.181,8.025,,1.907,0.135,0.107,,0.394,3.719,8.444,29.875,0.4690753632348894,0.326626396485165
1690,1983-03-31,AAPL,407.248,52.209,0.4,103.054,133.713,227.982,,0.457,0.308,41.848,,34.438,0.534,0.672,0.02,0.547,0.183,9.364,,1.964,0.133,0.107,,0.399,3.802,9.489,42.25,0.326626396485165,0.057759231635760466
1690,1983-06-30,AAPL,467.211,57.981,0.4,127.201,164.446,267.284,,0.462,0.306,24.507,,42.421,0.605,0.672,0.018,0.534,0.178,11.437,,2.023,0.126,0.102,,0.419,3.779,5.515,48.875,0.057759231635760466,-0.5147193082838677
1690,1983-09-30,AAPL,468.993,87.586,0.08,128.786,178.678,273.21,,0.333,0.22,15.918,,353.76,0.403,-44.598,0.009,0.508,0.132,9.01,,2.15,0.101,0.078,,0.473,3.642,2.828,23.125,-0.5147193082838677,0.06091862923319524
1690,1983-12-31,AAPL,510.515,96.966,0.1,162.563,221.329,316.228,13.82,0.242,0.159,26.786,,114.814,0.403,-44.598,0.009,0.478,0.087,17.499,,2.019,0.076,0.054,0.459,0.481,3.554,3.514,24.375,0.06091862923319524,0.05024789071354274
1690,1984-03-31,AAPL,528.553,97.744,0.15,164.676,224.827,300.102,20.895,0.173,0.109,40.24,,195.875,0.403,-44.598,0.009,0.456,0.056,19.538,,1.998,0.063,0.038,1.056,0.517,3.387,3.817,24.75,0.05024789071354274,0.10840024824193695
1690,1984-06-30,AAPL,611.341,96.611,0.3,218.759,283.61,422.143,26.764,0.129,0.089,42.063,,125.639,0.403,-44.598,0.009,0.437,0.036,19.702,,2.1,0.05,0.029,1.934,0.571,3.141,3.262,26.5,0.10840024824193695,-0.12657017148403538
1690,1984-09-30,AAPL,687.55,101.235,0.5,255.184,324.221,477.399,39.614,0.192,0.133,23.571,,-50.266,0.217,,0.0,0.445,0.06,11.753,,2.253,0.067,0.042,1.304,0.698,2.694,2.808,25.125,-0.12657017148403538,0.14328853847637024
1690,1984-12-31,AAPL,853.101,113.449,0.75,375.152,452.512,698.296,15.056,0.311,0.217,14.559,,-34.922,0.217,,0.0,0.435,0.091,7.497,,2.457,0.076,0.055,0.411,0.712,2.644,2.541,29.125,0.14328853847637024,-0.3242347611769163
1690,1985-03-31,AAPL,747.524,128.435,0.16,258.282,336.436,435.344,33.604,0.266,0.203,10.161,,-49.921,0.217,,0.0,0.428,0.087,7.609,,2.435,0.066,0.052,0.212,0.719,2.618,1.73,22.125,-0.3242347611769163,-0.24800629831144283
1690,1985-06-30,AAPL,744.372,128.61,-0.28,274.019,349.308,374.929,42.719,0.234,0.125,13.274,,10.04,0.217,0.61,0.0,0.435,0.076,7.356,,2.267,0.057,0.035,0.473,0.716,2.608,1.543,18.0,-0.24800629831144283,-0.07121420776386223
1690,1985-09-30,AAPL,822.064,114.112,0.36,295.424,385.69,409.709,54.064,0.219,0.104,20.328,,5.806,0.29,0.748,0.0,0.439,0.077,5.152,,2.224,0.054,0.032,,0.701,2.783,1.943,15.75,-0.07121420776386223,0.23645632828409635
1690,1985-12-31,AAPL,915.136,106.886,0.91,294.845,408.183,533.89,6.51,0.231,0.118,21.739,,6.293,0.297,0.867,0.0,0.477,0.093,5.709,,1.892,0.068,0.041,3.041,0.664,2.877,2.141,22.0,0.23645632828409635,0.15336391174142028
1690,1986-03-31,AAPL,950.714,105.584,0.5,264.383,391.124,408.943,18.503,0.284,0.145,24.832,,8.065,0.35,0.866,0.0,0.523,0.118,4.981,,1.777,0.089,0.054,1.003,0.652,3.041,2.963,28.25,0.15336391174142028,0.21993243368388304
1690,1986-06-30,AAPL,1000.313,115.119,0.49,272.387,405.221,448.279,48.071,0.318,0.208,16.372,,8.961,0.421,0.775,0.0,0.543,0.143,5.204,,1.744,0.109,0.08,0.407,0.626,3.272,2.805,35.875,0.21993243368388304,0.01161643914773891
1690,1986-09-30,AAPL,1040.933,119.194,0.51,328.534,466.041,510.786,66.629,0.31,0.209,16.736,,9.223,0.44,0.755,0.0,0.558,0.144,6.463,,1.815,0.108,0.081,0.426,0.671,3.168,3.012,33.5,0.01161643914773891,0.16205050314741354
1690,1986-12-31,AAPL,1153.254,121.652,0.91,359.666,516.649,662.253,15.74,0.293,0.195,29.046,,17.153,0.393,0.704,0.0,0.561,0.13,6.833,,1.763,0.104,0.077,0.578,0.629,3.384,4.799,40.5,0.16205050314741354,0.3880668462160801
1690,1987-03-31,AAPL,1242.66,132.805,0.51,363.342,540.527,575.327,38.699,0.28,0.186,32.645,0.608,24.437,0.373,0.58,0.0,0.545,0.12,8.567,,1.784,0.099,0.072,0.533,0.643,3.352,4.997,64.5,0.3880668462160801,-0.4142596327861534
1690,1987-06-30,AAPL,1244.166,144.482,0.4,404.782,608.62,637.064,61.006,0.295,0.198,39.56,0.444,39.07,0.401,0.542,0.0,0.542,0.126,9.544,,1.835,0.101,0.075,0.593,0.695,3.214,6.898,40.5,-0.4142596327861534,0.336410412605588
1690,1987-09-30,AAPL,1307.425,170.506,0.54,478.678,641.443,786.424,86.127,0.335,0.238,20.0,0.97,26.853,0.485,0.444,0.0,0.539,0.14,16.119,,2.017,0.108,0.082,0.345,0.767,2.731,4.164,56.5,0.336410412605588,-0.024371686365500023
1690,1987-12-31,AAPL,1430.884,192.016,0.92,564.955,753.884,1042.442,34.14,0.386,0.287,20.331,0.744,19.923,0.573,0.61,0.0,0.539,0.151,10.122,,2.074,0.116,0.092,0.399,0.766,2.884,5.047,42.0,-0.024371686365500023,-0.09541733157566079
1690,1988-03-31,AAPL,1405.341,222.635,0.61,506.306,722.673,867.161,68.059,0.408,0.322,16.802,0.771,18.438,0.63,0.586,0.0,0.541,0.157,9.363,,2.179,0.12,0.098,0.328,0.804,2.756,4.583,40.0,-0.09541733157566079,0.09981676580787191
1690,1988-06-30,AAPL,1427.99,267.028,0.71,542.922,780.452,993.051,101.198,0.422,0.35,14.344,0.803,17.285,0.671,0.553,0.0,0.539,0.154,8.904,,2.297,0.119,0.099,0.192,0.822,2.662,4.243,46.25,0.09981676580787191,-0.05905133652848471
1690,1988-09-30,AAPL,1782.994,299.092,0.84,827.093,1078.661,1168.719,144.001,0.392,0.355,12.216,1.06,15.688,0.63,0.511,0.183,0.53,0.152,7.79,153.663,2.287,0.117,0.098,0.138,1.075,2.156,3.681,43.25,-0.05905133652848471,-0.09073152605110102
1690,1988-12-31,AAPL,1924.983,351.164,1.1,857.51,1132.851,1405.137,73.967,0.422,0.366,11.12,1.1,22.739,0.689,0.064,0.093,0.521,0.148,7.131,153.663,2.309,0.114,0.095,0.139,0.936,2.393,3.148,40.25,-0.09073152605110102,-0.17665967688981177
1690,1989-03-31,AAPL,1920.623,400.397,0.44,797.633,1115.682,1246.917,124.124,0.373,0.32,15.453,0.838,38.382,0.589,-0.295,0.148,0.508,0.13,7.257,153.663,2.299,0.101,0.082,0.242,0.963,2.333,3.894,35.625,-0.17665967688981177,0.07952121630763243
1690,1989-06-30,AAPL,1961.07,439.401,0.74,746.8,1080.982,1248.212,179.287,0.355,0.3,14.263,0.899,14.08,0.543,0.44,0.164,0.506,0.126,6.842,153.663,2.233,0.1,0.079,0.313,0.944,2.35,3.379,41.25,0.07952121630763243,-0.019237154233065823
1690,1989-09-30,AAPL,2294.428,449.471,1.24,895.243,1258.153,1383.747,238.993,0.315,0.293,12.535,0.994,11.013,0.474,0.529,0.075,0.514,0.12,7.477,,2.19,0.11,0.086,0.27,0.847,2.563,3.022,44.5,-0.019237154233065823,-0.22003758727053024
